id;fecha;timbrado;nota_nro;punto_expedicion;sucursal;razon_social;ruc;direccion;motivo_emision;estado;total;facturas_id
1;2023-11-15;96013;Buckinghamshire Account;14613;21435;Dollar Francia;networks;superestructura Asistente;DESCUENTO;ENTREGADO;91274;1
2;2023-11-15;95809;XSS Conjunto conjunto;31426;16599;Ejecutivo;Oficial JSON;Kong;DESCUENTO;ENTREGADO;99433;2
3;2023-11-15;50254;Papelería Rústico;38955;96617;defectos Web Pizza;granular neural;Arquitecto;OTRO;ANULADO;20276;3
4;2023-11-15;59945;Asistente Rojo Metal;52699;19655;COM;solid;Granito;OTRO;PENDIENTE;17136;4
5;2023-11-15;17796;Camerún Lebanese;37308;23845;redundant Ergonómico Sabroso;iterate Guapa Cambridgeshire;payment;DEVOLUCION;ENTREGADO;65932;5
6;2023-11-16;51804;Aplicaciones Sabroso web-readiness;61555;84422;payment Desarrollador hacking;Austria;Oficial Electrónica Identidad;DEVOLUCION;PENDIENTE;86652;6
7;2023-11-15;52231;Pequeño;76377;28745;Administrador homogénea;deposit envisioneer Tugrik;Buckinghamshire Global;ANULACION;ENTREGADO;53441;7
8;2023-11-15;80852;e-commerce;49018;10754;copy;group Personal soporte;program capacitor productividad;OTRO;ENTREGADO;76258;8
9;2023-11-15;32859;escalable Manzana JSON;92546;96397;Verde;Vía web-readiness Berkshire;Investment Relacciones;ANULACION;ENTREGADO;41933;9
10;2023-11-15;79378;Kuna Actualizable Distrito;76417;58046;convergence;networks alarm;visualize;DEVOLUCION;PAGADO;47098;10
